,Lyrics
"""Bye Bye Bye""",hey hey bye bye bye bye bye bye bye tonight probably gon start fight know right hey baby come loved endlessly time leave make alone know take lie wan see door baby bye bye bye bye bye wan fool another player game two may hate lie baby bye bye bye bye bye really wan make tough wan tell enough might sound crazy lie baby bye bye bye might also like hit truth girl welcome give one good reason baby come lived really come see life would much better gone know take lie wan see door baby bye bye bye bye bye wan fool another player game two may hate lie baby bye bye bye bye bye really wan make tough wan tell enough ooh ooh might sound crazy lie baby bye bye bye giving know sure wan reason love bye bye checkin signin want loser enough wan fool game two leaving behind bye bye bye yeah wan make tough make though enough bye bye lie bye bye baby wan fool wan fool another player game two game two wan fool lie baby bye bye bye bye bye really wan make tough wan make tough wan tell enough enough might sound crazy lie bye bye bye bye bye 
"""You Sang to Me""",wanted comfort called late last night see falling love yes crashing love word sang life truth free yea sang sang girl live make feel question real cause afraid love first time afraid love day seems made showed life need yea sang sang front never realized jus believe see eye see believe feel sing long hear sing beneath clear blue sky promise time see eye see believe feel sing might also like think live inside idea could crazy love believe crazy love word said sang showed wan yea sang sang front never realized jus believe see eye see believe feel sing long hear sing beneath clear blue sky promise time see eye see believe feel sing front never realized jus believe see eye see believe feel sing long hear sing beneath clear blue sky promise time see eye see believe feel sing 
"""I Need to Know""
",say around way asked even talk wanting must admit wan hear talk take true leave alone wondering ever gon take tell feeling need know girl got let know way need know need know tell baby girl cause need know need know need know tell baby girl cause need know every thought true getting harder think girl exactly wan thing need true leave alone wondering ever gon take tell feeling need know girl got let know way might also like cause need know need know tell baby girl cause need know need know need know tell baby girl cause need know true leave alone wondering ever gon take tell feeling need know girl got let know way cause need know need know tell baby girl cause need know need know need know tell baby girl cause need know true leave alone wondering ever gon take tell feeling need know girl got let know way cause need know need know tell baby girl cause need know need know need know tell baby girl cause need know 
"""Get It On Tonite""",ooh wee lookin keep thinkin like schemin like believin love true standing dance floor trickin want girl chicken might together love missin girl want girl alright let somewhere get tonight let get got girl look good tonight look good baby one one tonight babe tonight girl alright alright let somewhere get tonight yeah get alone tonight yeah yeah one one tonight tonight one one baby lookin keep talkin tryna ice let start walkin dance floor fault tell baby yeah might also like girl ready ready get get know went wrong went wrong belong belong girl could find word say got get away love kill everyday gladly say girl alright let somewhere get tonight got girl look good tonight one one tonight tonight girl alright let somewhere get tonight alone tonight one one tonight tonight baby stressin need come need somewhere yeah tonight tonight girl alright let somewhere get tonight got girl look good tonight 
"""Incomplete""",ooh ooh ooh ooh ooh yeah yeah listen bright light fancy restaurant everything world man could want got bank account bigger law allow still lonely pretty face cover magazine cover cover wan lay fame fortune still find grown man runnin time even though seems everything wan lonely fool woman expensive car money amount make believe everything pretend see without girl life incomplete said without girl ahh listen might also like perfume sexy lingerie girl remember like yesterday thursday told fallen love sure year winter summer spring fall bein without livin nothing could travel back time relive day mine even though seems everything wan lonely fool woman expensive car money amount make believe everything pretend see without girl life incomplete yeah without girl ahh help lovin loved much late give anything everything hear say stay even though seems everything wan lonely fool woman expensive car woman money money amount make believe everything give baby pretend see yeah yeah without girl life incomplete without alright alright alright even though seems everything even though seems wan lonely fool got everything woman expensive car make wan cry baby money amount make believe everything pretend see baby hey yeah without girl life incomplete without girl without girl life without girl life life incomplete without girl life incomplete yeah life incomplete yeah yeah yeah 
"""I Try""",game change fear stop believe fate brought together babe play dreaming keep cool feigning try say goodbye choke try walk away stumble though try hide clear world crumbles near goodbye choke try walk away stumble though try hide clear world crumbles near may appear free prisoner love may seem alright smile leave smile front front hey might also like play dreaming keep cool feigning try say goodbye choke yeah try walk away stumble though try hide clear world crumbles near goodbye choke yeah try walk away stumble though try hide clear world crumbles near confession may possession boy need touch love kiss might try deny deny play dreaming dreaming babe keep cool feigning try say goodbye choke yeah try walk away stumble though try hide clear world crumbles near goodbye choke yeah yeah yeah try walk away stumble hey yeah yeah though try hide clear sick love world crumbles near love love kiss end goodbye choke goodbye choke yeah try walk away stumble though try hide clear world crumbles near yeah yeah yeah yeah yeah 
"""It's Gonna Be Me""",gon ooh yeah might hurt babe lie seen come remember told made believe man cry maybe every little thing never seems enough wan lose like baby finally get love somebody guess gon got choice babe move know time waste blind blind see end know gon deny tell might also like every little thing never seems enough wan lose like baby finally get love somebody somebody guess gon gon ayy ooh yeah yeah come day one see lance gon joey gon justin gon gon chris gon gon enough wan lose like finally finally get love guess guess every little thing never seems enough babe wan lose wan lose like baby finally get love somebody love guess gon every little thing never seems enough wan lose wan lose like baby finally get love somebody love somebody guess gon 
"""That's the Way It Is""",yeah read mind know story see going yeah uphill climb feeling sorry know come yeah surrender cause win thing called love want easy way ready heart left doubt give faith love come believe way might also like question simple answer know say plain see stick together gon find way yeah surrender cause win thing called love want easy way ready heart left doubt give faith give faith love come believe way way life empty tomorrow loneliness start call loneliness start call baby worry forget sorrow cause love gon conquer want easy way ready heart left doubt give faith give faith love come believe way easy way ready heart left doubt huh give faith give faith love come believe way way way way babe way give faith give faith love come believe way 
"""Country Grammar (Hot Shit)""",hot shit mmmm goin baby street range rover come street sweeper baby cocked ready let hot shit shimmy shimmy cocoa listen pound light take puff pas goin baby street range rover street sweeper baby cocked ready let shimmy shimmy cocoa listen pound light take puff pas mmmm find louis rollin dub smokin dub club blowin like cocoa puff sippin bud gettin perved gettin dubbed daps hug mean mug shoulder shrug accumulated enough scratch navigate wood decorated chrome candy painted fan faintin entertainin wild money get acquainted plus hang hannibal lecter hot shit feel bring sing loud lou proud run mile cause righteous law player style raw born mack like todd shaw forget fame glamour give rubber hammer grammar ebonics gin tonic chronic fuck bionic ironic slammin nigga like onyx lunatic til day die run game bull sonics might also like goin baby street range rover come street sweeper baby cocked ready let hot shit shimmy shimmy cocoa listen pound light take puff pas goin baby street range rover street sweeper baby cocked ready let shimmy shimmy cocoa listen pound light take puff pas say pretty boy wild nigga loud nigga corral nigga foul nigga run club bust crowd nigga nigga ask goin nigga nigga come circus watch clown nigga pound nigga givin around nigga frown nigga talkin shit leave town nigga say hoe come play hey ready cut day play rule boo gon stay high may answer third question like say nigga left slamma louis memphis texas back indiana chi town motown alabama new york yankee nigga hotlanta louisiana nigga country grammar smokin blunts savannah blow thirty mil like hammer goin baby street range rover come street sweeper baby cocked ready let hot shit shimmy shimmy cocoa listen pound light take puff pas going baby street range rover street sweeper baby cocked ready let shimmy shimmy cocoa listen pound light take puff pas let show cat make million nigga quit actin silly mon kid quicker billy mon talkin really need mon flow kick freely mon especially remi mon key beemer mon holler beenie man see mon chiefin rollin deeper mon jennings mon city back kingsland nice nigga sheist nigga snatch life nigga trife nigga produce sell beat twice nigga hot shit ice nigga close never sober broke havin broker price range rover knockin like jehovah let let bill gate donald trump let spend got money lend friend candy benz kenwood win woo fuckin lesbian twin seein pen make end goin baby street range rover come street sweeper baby cocked ready let hot shit shimmy shimmy cocoa listen pound light take puff pas goin baby street range rover street sweeper baby cocked ready let shimmy shimmy cocoa listen pound light take puff pas 
"""Bring It All to Me""",looking fine fancy car see looking wan gon sit stare baby talk tell mind baby baby bring bring need fancy car diamond ring baby need baby bring bring gim time love space energy hoh baby deal would forward told feel way thing real feeling timb baggy jean thug appeal like man keep real might also like baby bring bring bring need fancy car diamond ring diamond ring baby bring gim time love space energy baby put pride side tell good make feel inside single question make right cause need every day night baby baby bring bring bring yeah yeah need fancy car diamond ring baby bring bring ooh gim time love space energy ooh baby bring yeah need fancy car diamond ring baby bring bring bring gim time love space energy woah baby bring bring need fancy car diamond ring ooh baby bring baby gim time love space energy bring baby bring need fancy car diamond ring diamond ring baby baby bring yeah gim time love space energy 
"""Show Me the Meaning of Being Lonely""",show meaning lonely many word broken heart hard see crimson love hard breathe walk maybe night light soon become wild free could feel sun every wish done tell show meaning lonely feeling need walk tell something missing heart life go never end eye stone observe trend never say forever gaze guilty road endless love endless love control every wish done tell might also like show meaning lonely feeling need walk tell tell something missing heart heart nowhere run place surrender heart body soul asking feel thing never show show missing heart tell show meaning lonely lonely feeling need walk tell tell something missing heart missing heart show meaning lonely lonely feeling need walk tell something missing heart 
