,Lyrics
"""It's Too Late""/""I Feel the Earth Move""",well let introduce name big heath average gang rapper making quick cheese legit scheme trying flip big dreans jacamo brand seems fit shit feeling alone thought rap game feel like clone see many rapper read phone bitch listen lyric fore come show man real bone say clearer charlie look like looking mirror like two fly fat guy looking damn fry fire booth feel like baptized waited year lie wrote bucket list thing number stop til drop love grind number subway franchise game go kinda lame bro shit melody rapping flow spray cold surprised game froze day week lay low payroll bro amazing got basic flow basically shit like robbing bladder taking piss raising bar even raising kid stand aside rapper man mine rapper dress good shit hook glamorise rapper fan mine rapper handle grime rapper word move slow paralyzed rapper kidding though never hear fibbing though used work pay video youtube vimeo city bro finger every pie young white diddy bro see always fascinated enterprise coming like london rent rising got best rhyming invest trying lot hard work yeah swear rest timing brother wan come laugh though co never gat let shit blast though shitty little arsehole least faking boy might sell drug boy take mean sound cool grew school around fool fuck ground rule even breaking rule around town sound rule fuck clown tool king taking everything crown jewel whole life dedicated rap born entertainer serenade track blatant fact track blatantly jack game fucked right like pay whack sake map straight spraying fact rapper sleep beat like taking nap charlie tell blame co game trap like var decision taking back never lose winner bos phase slimming world year never ever lost weight ever lost mate fuck man well actually lie lost sky controller sorry seem stressed think understand trying best always fucking plan yeah fucking man might seem cocky halloween sweden dressed rocky might also like well man fell love hip hop never let shit stop masta ace way fucking rick ross game wan make chris cross charlie hit wingstop wing stop pitstop co need breathe running rap like mouse running cheese sick tired rapper hiding behind beat cypher time get beef please really shooting life die trust spike blunt make jump stupid height write note make look like suicide fattest rapping since younger rapping back school smack rapping overlapping fool best pressure back wall back charlie tell begin fat long probably scared thin kin shoutin lose weight like couple copy man trust think late whole life man repped different lord know wanted recognition please listen fore biggie bust load girl say look cute love chode rub throat til husband home got nerd saying love hoe flip phone bone trust phone truth really fuck hoe still virgin man learning last week bad bitch twerking flirting certain stripper working get nervous start stammering love bbw always dibble dabble trying find chick start hammering trying find dick better luck finding madeline instagram chick really getting bored gotten point start ignoring talk number always end boring sexual fantasy fucking carole vorderman big bad heath talking gun crime could beat whole catalog like one line punchlines dumb fine fuck bum rhyme bully back lunchtime brother crunch time heavy arrogant never wrong let alone boner trying get semi game full bitch need femidom charlie man clocked please everyone built brand bottom name hear nan playing bowl game working hard want whole game one day derek sure gold chain earth way glitz glammer nothing like family tragically always cunt bro say fine stage fright boo front row paint picture vivid spike lee married game went right knee brother spike co outwrite course like heath like course sick born shit doubt get diztortion normal kid want four different whip want stella hand portion chip let clear half artist damn lame sell sole moment find fan fame bring little humour rap game comment tell plantin plantain year tried jolla first time lie must admit shit quite nice first thought portion rice little spice darn nice right know flowing cold lord know getting bored mum toad hole need spice mum nice mum racist really white mum see logic backed reasoning mum please stop cooking chicken seasoning swear game changed game past treason rapper let like game throne last season sick tired rapper feeling like got something prove co big trapper love booth co know night stuck room get away bully something prove yes overweight stomach truth got sell drug hustler dude coulda good job got something lose ever dare question judge nothing truth hope getting message different walk life lesser lesson acting big co know dennis menace relate shit play tennis dennis gon rap drill charlie swear nearly bought mask decided peter pan end thought pas run fed never see walking fast still nando putting fanta water glass real shit clout bad thought way let bro need help please please shout bro one love charlie team though 
"""One Bad Apple""",look face girl guy brought sad happy world need love afraid give someone else come along sock one bad apple spoil whole bunch girl give one try give love one bad apple spoil whole bunch girl care say care heard could make happy baby satisfy give chance prove love give one chance give guarantee hurt one bad apple spoil whole bunch girl give one try give love might also likeone bad apple spoil whole bunch girl care say care heard noticing baby long long time ashamed tell world really messed mind girl like dream come true rather hurt ever hurt one bad apple spoil whole bunch girl give one try give love girl one bad apple spoil whole bunch girl care say care heard one bad apple spoil whole bunch 
"""How Can You Mend a Broken Heart""",think younger day living life everything man could want could never see tomorrow never told sorrow mend broken heart stop rain falling stop sun shining make world round mend broken man loser ever win please help mend broken heart let live still feel breeze rustle tree misty memory day gone could never see tomorrow one said word sorrow mend broken heart stop rain falling stop sun shining make world round mend broken man loser ever win please help mend broken heart let live might also like please help mend broken heart let live 
"""Indian Reservation (The Lament of the Cherokee Reservation Indian)""",took whole cherokee nation put reservation took away way life tomahawk bow knife took away native tongue taught english young bead made hand nowadays made japan cherokee people cherokee tribe proud live proud die took whole indian nation locked reservation though wear shirt tie still part red man deep inside cherokee people cherokee tribe proud live proud die maybe someday learned cherokee nation return return return return returnyou might also like 
"""Go Away Little Girl""",away little girl supposed alone know lip sweet lip must never meet dating somebody else must true away little girl away little girl hurting minute delay near like much hard resist away little girl beg stay away little girl away little girl hurt delay near like much hard resist away little girl let call day little girl please away little girl beg stayyou might also 
"""Take Me Home, Country Roads""",almost heaven west virginia blue ridge mountain shenandoah river life old older tree younger mountain growing like breeze country road take home place belong west virginia mountain mama take home country road memory gather round miner lady stranger blue water dark dusty painted sky misty taste moonshine teardrop eye country road take home place belong west virginia mountain mama take home country road hear voice morning hour call radio reminds home far away driving road get feeling home yesterday yesterday might also like country road take home place belong west virginia mountain mama take home country road country road take home place belong west virginia mountain mama take home country road take home country road take home country road 
"""Just My Imagination (Running Away with Me)""",oooh day window watch pass say lucky guy girl like truly dream come true fellow world belongs imagination runnin away imagination runnin away ooh soon soon married raise family yeah cozy little home country two child maybe three tell visualize dream real seems imagination runnin away tell imagination runnin away might also like night knee pray dear lord hear plea ever let another take love surely die hmm love heavenly arm enfold hear tender rhapsody reality even know imagination runnin away tell imagination runnin away never met forget imagination ooh yeah yeah yeah yeah runnin away ooh imagination runnin away never hard find imagination always mind runnin away 
"""Knock Three Times""",hey girl whatcha dancin alone every night live right hear music playing feel body swaying one floor even know love darling knock three time ceiling want mmm twice pipe answer sweetness knock knock knock mean meet hallway woh twice pipe knock knock mean gon show look window tonight pull string note attached heart read many time saw silence adored dream wall come apart might also like darling knock three time ceiling want mmm twice pipe answer woh sweetness knock knock knock mean meet hallway woh twice pipe knock knock mean gon show woh hear music playing feel body swaying one floor even know love darling knock three time ceiling want woh twice pipe answer love love love sweetness knock knock knock mean meet hallway mmm twice pipe knock knock mean gon show darling knock 
"""Me and Bobby McGee""",busted flat baton rouge waitin train feelin near faded jean bobby thumbed diesel rained rode way new orleans pulled harpoon dirty red bandana playin soft bobby sang blue yeah windshield wiper slappin time holdin bobby hand mine sang every song driver knew freedom another word nothin left lose nothin mean nothin honey free yeah feelin good easy lord sang blue know feelin good good enough good enough bobby mcgee kentucky coal mine california sun yeah bobby shared secret soul kind weather everything done yeah bobby baby kept cold one day near salina lord let slip away lookin home hope find trade tomorrow one single yesterday holdin bobby body next mine might also like freedom another word nothin left lose nothin bobby left well feelin good easy lord sang blue hey feelin good good enough mhm good enough bobby mcgee bobby mcgee yeah bobby mcgee yeah hey bobby bobby mcgee yeah hey bobby bobby mcgee yeah lord called lover called man said called lover best come bobby bobby mcgee yeah hey hey hey bobby mcgee hey hey woo hey hey hey bobby mcgee yeah 
"""Tired of Being Alone""",sweet baby tired alone tired help girl soon people say found way make say love hey baby natural fact wan come back show baby tired alone tired help girl soon guess know love even though want hey hey hey hey cryin tear year tell like honey love might also like yeah baby tired alone tell tired baby tired wrapped late night dream nobody baby sometimes wonder oooooh love like say see baby thinkin yeah wantin get next baby see sometimes hold arm say mmmm hmmm hmmm oooh yeah baby meeting proven greatest dream yeah tired baby yeah know talkin sometimes late night get wonderin baby baby baby tired alone tired alone tired alone 
"""Want Ads""",wanted young man single free experience love preferred accept young trainee gon put want ad need love true gon put want ad man home find lost alone man playing field thrill gone stay night say boy lipstick collar perfume tell lying tell gon gon put want ad girl misery gon put want ad somebody rescue spend night alone cryin bitter tear although cry aloud nobody really hears need never side either playing card drinking bar think fool going evening news gon put want ad need somebody new gon put want ad man might also like extra extra read wanted young man single free experience love preferred accept young trainee lipstick collar perfume tell lying going evening news gon put want ad need somebody new gon put want ad man gon put want ad girl misery gon put want ad somebody rescue 
"""Smiling Faces Sometimes""",smiling face sometimes pretend friend smiling face show trace evil lurks within dig smiling face smiling face sometimes tell truth smiling face smiling face tell lie got proof lawd yeah let tell truth eye cause eye lie amen remember smile frown turned upside friend hear sayin smiling face smiling face sometimes hey tell truth smiling face smiling face tell lie got proof might also like beware beware handshake hide snake dig dig telling beware beware pat back might hold back jealousy jealousy misery misery envy envy tell see behind smiling face smiling face sometimes hey tell truth smiling face smiling face tell lie got proof hey enemy harm rap cause know coming let handshake smile fool take advice tryin school smiling face smiling face sometimes tell truth smiling face smiling face tell lie got proof smiling face smiling face sometimes 
"""Treat Her Like a Lady""",something understand get woman palm hand told treat like lady treat like got got treat like best treat like got got treat like got treat like lady give lord look see know mean know heard woman treat like got treat like soon take advantage treat like got treat like let tell friend treat like got treat like substitute treat like got treat like ought treat like lady treat like got got treat like best treat like got got treat like got treat like lady give lord look see know mean got love love tease tease got please please got hold hold want want make feel always need need know woman woman sentimental woman easy woman upset woman make feel feel real yeah real give happiness whoa might also likestrange seems treat like got treat like know treat woman mean treat like got treat like friend said easy simple way fail blame look way cause gon treat like lady treat like got got treat like affectionately treat like got got treat like gon treat like lady give lord look see know mean got treat like lady treat like got got treat like best treat like got got treat like got treat like 
"""Brown Sugar""",gold coast slave ship bound cotton field sold market new orleans scarred old slaver know alright hear whip woman around midnight brown sugar come taste good huh brown sugar like young girl huh woo drum beating cold english blood run hot lady house wonderin gon stop house boy know alright shoulda heard around midnight brown sugar come taste good brown sugar like young girl yeah get brown sugar come taste good got craving brown sugar like black girl yeah bet mama tent show queen boyfriend sweet sixteen schoolboy know like shoulda heard around midnight might also like brown sugar come taste good baby come brown sugar like young girl yeah said yeah yeah yeah woo come come taste good yeah yeah yeah woo like like black girl yeah yeah yeah woo 
"""You've Got a Friend""",need helping hand nothing whoa nothing going right close eye think soon brighten even darkest night call name know wherever come running yeah baby see winter spring summer fall got call yeah yeah yeah got friend sky turn dark full cloud old north wind begin blow keep head together call name loud soon knocking upon door call name know ever come running yes see winter spring summer fall yeah got call yeah yeah yeah might also likehey good know got friend people cold hurt desert well take soul let yeah let call name know wherever come running see baby know bout winter spring summer fall got call lord yes got friend got friend yes good know got friend good know got friend yeah yeah got friend 
"""Mr. Big Stuff""",big stuff think big stuff never gon get love wear fancy clothes yeah big fine car yes think afford give love yeah think higher every star big stuff think big stuff never gon get love know girl seen know broke heart one another bit bit made cry many poor girl cry tried keep happy tried keep satisfied big stuff tell tell think big stuff never gon get love might also likei rather give love poor guy love true yeah fooled around get hurt cause give love want love return yeah know lesson big stuff learned big stuff tell think big stuff never gon get love big stuff never gon break heart big stuff never gon make cry big stuff tell think big stuff never gon get love big stuff never gon break heart big stuff never gon make cry big stuff tell tell think big stuff never gon get love 
"""Do You Know What I Mean""",fourteen day since know saw best friend know mean know know mean saw yesterday saw asked stay know mean lord know mean bobby steppin bobby know found know mean know know mean asked still cared hear stared know mean lord know mean said lee loved nearly four year noticed held back tear really late better find another girl better find another girl better find another place might also likeverse left yesterday left nothing say know mean know mean dandy yes indeed dandy free know mean lord know mean yeah fourteen day since know saw best friend know mean lord know mean saw yesterday saw learn stay know mean lord know mean yeah come hoooo help 
"""The Night They Drove Old Dixie Down""",virgil caine name drove danville train till much cavalry came tore track winter sixty five hungry barely alive took train richmond fell time remember well night drove old dixie bell ringin night drove old dixie people singin went back wife tennessee one day said virgil quick come see go robert lee mind chopping wood care money good take need leave rest never taken best might also like night drove old dixie bell ringin night drove old dixie people singin went like father working man like brother took rebel stand eighteen proud brave yankee laid grave swear blood foot raise caine back defeat night drove old dixie bell ringin night drove old dixie people singin went 
"""What's Going On""",hey hey hey hey happenin hey brother happenin boy groovy party hey doin man dig yeah brother solid right happenin hey man happening woo everything everything gon get today boy tell mother mother many cry brother brother brother far many dying know got find way bring loving today yeah father father need escalate see war answer love conquer hate know got find way bring loving today might also like picket line sister picket sign sister punish sister brutality sister talk sister see sister going going going going yeah going going going meantime right baby woo right baby woo woo right baby right woo boo doo boo boo boo doo boo boo boo boo boo boo doo boo boo boo mother mother everybody think wrong judge simply cause hair long know got find way bring understanding today picket line brother picket sign brother punish brother brutality brother come talk brother see brother going going yeah going going tell going going tell going going woo ooh ooh ooh right baby right woo woo right boo doo boo boo boo doo boo boo boo doo woo right baby come right woo right listen boo doo boo boo boo doo boo boo doo boo boo boo 
"""Uncle Albert/Admiral Halsey""",sorry uncle albert sorry caused pain sorry uncle albert one left home believe gon rain sorry heard thing day sorry uncle albert anything happen sure give ring sorry uncle albert done bloody thing day sorry uncle albert kettle boil easily called away might also like hand across water water head across sky hand across water water head across sky admiral halsey notified berth get sea another look cup tea butter pie butter pie butter melt put pie alright hand across water water head across sky hand across water water head across sky live little gypsy get around get around get foot ground live little get around live little gypsy get around get around get foot ground live little get around hand across water water head across sky hand across water water head across sky 
"""Ain't No Sunshine""",sunshine gone warm away sunshine gone always gone long anytime go away wonder time gone wonder gon stay sunshine gone house home anytime go away know know know know know know know know know know know know know know know know know know know know know know know know know know hey ought leave young thing alone sunshine gone sunshine gone darkness everyday sunshine gone house home anytime go away might also like anytime go away anytime go away anytime go away 
"""Signs""",sign said long haired freaky people need apply tucked hair hat went ask said look like fine upstanding young man think took hat said imagine huh workin whoa sign sign everywhere sign blockin scenery breakin mind read sign sign said anybody caught trespassing would shot sight jumped fence yelled house hey give right put fence keep keep mother nature god tell face man kinda sinner might also like sign sign everywhere sign blockin scenery breakin mind read sign album version hey mister read got shirt tie get seat even watch eat supposed sign said got membership card get inside ugh sign said everybody welcome come kneel pray passed around plate end penny pay got pen paper made little sign said thank lord thinkin bout alive doin fine wooo sign sign everywhere sign blockin scenery breakin mind read sign outro sign sign everywhere sign sign sign sign 
"""She's a Lady""",well ever want kind like flaunt take dinner well always know place got style got grace winner lady whoa whoa whoa lady talkin little lady lady mine well never way always something nice say blessing leave knowing okay alone messing lady whoa whoa whoa lady talkin little lady lady mine well never asks much refuse always treat respect never would abuse got hard find want lose help build mountain little pile clay hey hey hey might also like well know take dish easy well know know please lady whoa whoa whoa lady talkin little lady lady mine yeah yeah lady listen baby lady whoa whoa whoa lady lady mine yeah yeah yeah lady talkin little lady whoa whoa whoa whoa lady lady live without little lady lady 
"""I've Found Someone of My Own""",coffee woman came sat side tear eye said confession make said woman speak mind said found somebody new take place said feel alone found someone lonely night left alone true love would call talk phone said woman way got darlin worry said found somebody new take place said feel alone found someone got table reached wiped tear face put cigarette turned walked away said found somebody new take place said feel alone found someone might also 
"""Superstar""",good caiaphas council wait pharisee priest gentleman know much time quite problem hosanna superstar listen howling mob blockhead street trick two leper whole town foot dangerous jesus christ superstar tell say dangerous might also like man town right whip support rabble rousing mission think must abort dangerous jesus christ superstar dangerous look caiaphas right outside yard quick caiaphas call roman guard wait need permanent solution problem jesus nazareth miracle wonderman hero fool riot army fighting slogan one thing say jesus cool dare leave device half witted fan get control stop glamour increase leap every minute top poll see bad thing arising crowd crown king roman would ban see blood destruction elimination one man blood destruction one man one man elimination one man one cause one cause one man jesusmania deal carpenter king start man bigger john john baptism thing fool perception stake gambling frighteningly high must crush completely like john jesus must die sake nation jesus must die must die must die jesus must die like john jesus must die must die must die jesus must jesus must jesus must die 
"""Amos Moses""",amos moses cajun lived self swamp hunted alligator livin knock head stump louisiana law gon get amos legal huntin alligator swamp boy everybody blamed old man makin mean snake amos moses boy daddy would use alligator bait tie rope around waist throw swamp alligator bait louisiana bayou forty five minute southeast thibodeaux louisiana lived man called doc millsap pretty wife hanna well raised son could eat weight grocery named man cloth called amos moses might also like folk around south louisiana said amos hell man could trap biggest meanest alligator use one hand got left cuz alligator bit left arm gone clean elbow well sheriff got wind amos swamp tracking alligator skin snuck swamp gon get boy never come well wonder louisiana sheriff went well sure get lost louisiana bayou forty five minute southeast thibodeaux louisiana lived cat called doc millsap pretty wife hanna well raised son could eat weight grocery named man cloth called amos moses set amos make count son forty five minute southeast thibodeaux louisiana 
"""Temptation Eyes""",know love love let every time make mine one lover tonight invitin want temptation eye lookin soul temptation eye got love got love tonight got love baby yeah hmm wild eyed innocence game head spinnin got way keep side ride never endin tonight excitin want might also likeoh temptation eye lookin soul temptation eye got love got love tonight feel tonight excitin want temptation eye lookin soul temptation eye got love got love tonight temptation eye lookin soul temptation eye come love love tonight temptation eye lookin 
"""My Sweet Lord""",sweet lord mmm lord mmm lord really wan see really wan really wan see lord take long lord sweet lord mmm lord mmm lord really wan know really wan really wan show lord take long lord hallelujah sweet lord hallelujah mmm lord hallelujah sweet lord hallelujah might also like really wan see really wan see really wan see lord really wan see lord take long lord hallelujah sweet lord hallelujah mmm lord hallelujah lord hallelujah really wan know hallelujah hallelujah hallelujah mmmmm hallelujah sweet lord hallelujah lord hallelujah mmm lord hare krishna lord hare krishna sweet lord krishna krishna ooh hare hare really wan see hare rama really wan hare rama really wan see lord take long lord hallelujah mmm lord hallelujah lord hare krishna sweet lord hare krishna sweet lord krishna krishna lord hare hare mmm gurur brahma mmm gurur vishnu mmm gurur devo mmm maheshwara sweet lord gurur sakshaat sweet lord para brahma lord tasmayi shree lord guruve namah sweet lord hare rama hare krishna sweet lord hare krishna sweet lord krishna krishna sweet lord hare hare 
"""Sweet and Innocent""",way cuddle shoulder young know girl come back older cause sweet innocent young way hold tight tender way kiss good night still say got growing whoa young beautiful love give yeah hip get girl home make believe world sweet innocent young beautiful yeah yeah yeah yeah sweet innocent young yeah might also likei like kiss hold tight home girl might sweet innocent young beautiful sweet innocent much young little girl home leave alone little 
"""Put Your Hand in the Hand""",man stilled water put hand hand man calmed sea take look look others differently puttin hand hand man galilee every time look holy book want tremble read part carpenter cleared temple buyer seller different fella profess cause shame know gal put hand hand mama taught pray reached age seven might also likeand knee close heaven daddy lived life two kid wife must must showed enough take get 
"""Chick-A-Boom (Don't Ya Jes' Love It)""",chick black bikini looked good real must magic genie disappeared around corner saw three door top bikini made first door party going asked chick said chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom boom boom found bottom half behind second door took africa presume really far cat screaming half crazy bomp boom loo bom long bam boo said hey man cut jive tell chick went looked pleased could said word wonder meant chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom boom boom might also likeah jes love ooh jes love love love yeah jes love jes love opened third door whispered sexy ooh tried impress style said never know chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom boom boom know chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom jes love chick boom chick boom boom 
"""For All We Know""",shepherd shall thee lord thee power hath descended forth thy hand foot may swiftly carry thy command shall flow river forth thee teeming soul shall ever nomeni patri fili spiritus sancti nigga got homicidal fantasy nigga got homicidal fantasy nigga got homicidal fantasy nigga got homicidal fantasy hate fucking gut hope bleed gon like hope seed wan stop war better murder else come house bring burner knee often time homicidal thought weird situation playing getting caught sane cause painting picture get caught writing go pisser yes people thinking fucking crazy like wrong gon drive come right back cover insecurity inability hatred towards still like torture partial towards chainsaw got feeling like surgeon way cutting brain raw remember thought think next time see punch vocal tune might also like reload firearm sharpen blade ever cross know bout carpenter fate anyone know know harbinger hate shotgun shell skull remove part face eye eye tooth tooth populate morgue cause got nothing lose armed mafioso mind zodiac enough twisted disposition die bringing kony back squad armed force shit bogey rap literal assassination wondering wish could throw five story ground like pac juice would never make sound set rule follow assassin creed sin father lead cap seed feel twelve bullet hit spinal wheelchair reminiscing know word always final maniac raving thing go little mad sometimes little mad sometimes coming 
"""If You Could Read My Mind""",could read mind love tale thought could tell like old time movie bout ghost wishin well castle dark fortress strong chain upon foot know ghost never set free long ghost see could read mind love tale thought could tell like paperback novel kind drugstore sell reach part heartache come hero would hero often fail read book ending hard take walk away like movie star get burned three way script enter number two movie queen play scene bringing good thing love let real never thought could act way got say get know went wrong feeling gone get back might also like could read mind love tale thought could tell like old time movie bout ghost wishin well castle dark fortress strong chain upon foot story always end read line know tryin understand feeling lack never thought could feel way got say get know went wrong feeling gone get back 
"""Help Me Make It Through the Night""",shake loose let fall lay soft upon skin like shadow wall come lay side til early mornin light takin time help make night chorus care right wrong try understand let devil take tomorrow tonight need friend yesterday dead gone tomorrow sight sad alone help make night repeat chorus might also 
"""Rainy Days and Mondays""",virgin suicide fiona apple pawn arcade fire funeral arctic monkey tranquility base hotel casino car arrested development year month day life ash auteur new wave badbadnotgood talk memory basement jaxx remedy count basie atomic basie beach boy pet sound beatles rubber soul revolver revolver magical mystery tour white album esher demo abbey road anniversary edition various artist beatles day various artist rubber soul rebound beck odelay bjork debut post vespertine med lla black key camino turn blue bloc party silent alarm blur leisure modern life rubbish parklife great escape blur think tank ballad darren best david bowie hunky dory low hero jeff buckley grace jake bugg jake bugg shangri carpenter yesterday richard karen carpenter greatest hit tracy chapman tracy chapman charlatan tellin story chemical brother exit planet dust dig hole margo cilker selected work clash clash coldplay rush blood head prospekt march mylo xyloto ghost story head full dream everyday life live coral coral move dawn cornershop born time cure three imaginary boy seventeen second faith pornography top head door kiss kiss kiss disintegration wish bloodflowers staring sea single terence trent arby hardline according terence trent arby daughter get want mile davis birth cool kind blue death vega contino session depeche mode violator memento mori derek domino layla assorted love song dizzee rascal boy corner shadow endtroducing django django django django dove lost soul last broadcast dre nick drake pink moon bob dylan blood track echo bunnymen ocean rain editor back room eel beautiful freak elastica elastica elbow asleep back cast thousand leader free world build rocket boy dead boot take landing everything little fiction giant size flying dream electric light orchestra blue missy elliott construction eminem slim shady marshall mathers everything girl walking wounded fatboy slim come long way baby flaming lip soft bulletin yoshimi battle pink robot fleetwood mac rumour fugees score guy garvey courting squall marvin gaye going ghostface killah fishscale bebel gilberto tanto tempo gnarl barkley elsewhere goldfrapp felt mountain grant lee buffalo fuzzy green day dookie happy monday pill thrill bellyache harcourt monster george harrison thing must pas harvey story city story sea richard hawley cole corner lauryn hill miseducation lauryn hill hole live david holmes let get killed interpol turn bright light antic love admire irrelevant cabbage counterfeit news network dead proud jam sound affect beat surrender japan adolescent sex obscure alternative quiet life gentleman take polaroid assemblage jay blueprint jerk jerk dead proud norah jones come away jamiroquai emergency planet earth joy division unknown pleasure closer permanent kaiser chief employment mile kane forget kasabian kasabian killer hot fuss sam town sawdust day age battle born wonderful wonderful king leon time mechanical bull lenny kravitz let love rule kula shaker kendrick lamar good kid city pimp butterfly damn morale big stepper lambchop nixon lang ing nue led zeppelin led zeppelin leftfield leftism libertine bracket madness total madness madonna ray light manic street preacher generation terrorist gold soul holy bible know enemy journal plague lover mansun attack grey lantern massive attack blue line protection mezzanine paul mccartney mccartney iii mercury rev deserter song metallica master puppet anger midlake courage others moby play alanis morissette jagged little pill bloody valentine anything loveless new order technique new york doll new york doll joanna newsom nirvana nevermind utero mtv unplugged new york oasis masterplan sin connor want got beth orton central reservation outkast speakerboxxx love pavement slanted enchanted crooked rain crooked rain pet shop boy pink floyd dark side moon pixy surfer rosa come pilgrim doolittle pogues best pogues police synchronicity portishead dummy portishead primal scream screamadelica vanishing point prodigy fat land public service broadcasting inform educate entertain race space pulp prince finley quaye maverick strike queen stone age queen stone age radiohead kid king limb rage machine rage machine razorlight night red hot chilli pepper californiacation django reinhardt stephane grappelli ultimate collection murmur document green time automatic people rodrigo gabriela mettavolution rolling stone rolling stone exile main roxy music roxy music yksopp melody basement jaxx rooty yksopp melody jack savoretti written scar shovel dance collective water shovel shore simple mind new gold dream frank sinatra song swingin lover talvin singh siouxsie banshee juju smashing pumpkin mellon collie infinite sadness patti smith horse smith queen dead strangeways come snow patrol sonic youth evol sister daydream nation dirty thousand leaf murray street stereophonics got come back pull pin live dakota stone rose stone rose second coming street grand come free stroke room fire strypes snapshot suede suede dog man star coming head music new morning bloodsports night thought blue hour autofiction sugarcubes life good super furry animal fuzzy logic supergrass coco coco money supergrass david sylvian secret beehive system system teenage fanclub bandwagonesque friendship sailing shape shifter heat deceit tlc crazysexycool amon tobin supermodified travis good feeling tricky maxinquaye two door cinema club tourist history radio dear science october unforgettable fire achtung baby zooropa pop leave behind underworld dubnobasswithmyheadman second toughest infant beaucoup fish velvet underground velvet underground nico white light white heat verve storm heaven northern soul urban hymn weezer weezer blue paul weller wild wood kanye west college dropout late registration heartbreak beautiful dark twisted fantasy white stripe elephant wilco crosseyed stranger alternate yankee hotel foxtrot robbie williams life thru lens stevie wonder talking book yeah yeah yeahs fever tell blitz thom yorke tomorrow modern box suspiria anima neil young harvest brief inquiry online relationship pac world julian bream julian bream play villa lobos eduardo fernandez world spanish guitar france griffin leo turner bajo palmera elizabeth kenny ar longa old new music theorbo gary ryan pattern time andr segovia spanish guitar magic segovia leo turner espernaca john williams joaquin rodrigo heitor villa lobos guitar concerto seville concert spanish guitar music xuefei yang sojourn best xuefei yang russian guitar moscow school trinity guildhall guitar piece exercise duet ludwig van beethoven barry cooper symphony story beethoven tenth symphony johannes brahms symphony symphony glenn branca third ascension anton dvor symphony new world gustav mahler symphony symphony wolfgang amadeus mozart requiem ave verum corpus exsultate jubilate piano concerto manuel falla maurice ravel piano concerto joaquin rodrigo complete orchestral work jean sibelius tone poem finlandia der schwan von tuonela valse triste tapiola dmitri shostakovich symphony symphony wolfgang amadeus mozart symphony symphony igor stravinsky rite spring concerto piano wind instrument heitor villa lobos live antonio vivaldi concerto lutoslawski penderecki cage mayuzumi string quartet bbc radio live lounge best air guitar album world ever jakey uncle lawrence wall jakey uncle lawrence sensible stuff jakey uncle lawrence petit peu fran ai mojo present johnny cash friend mojo present essential glastonbury smart spirit polynesia uncut blackwaterside sound new weird albion uncut modern classic uncut main sound uncut killer cut uncut uncut playing uncut big time sound uncut sound hit punk new wavevinyladam ant king wild frontier beatles please please beatles hard day night beatles sale help rubber soul revolver sgt pepper lonely heart club band beatles yellow submarine abbey road let hey jude johannes brahms symphony coldplay parachute europe world green day american idiot japan quiet life joy division unknown pleasure police ghost machine rolling stone let bleed stereophonics enough education perform stone rose stone rose war various artist anthem various artist jazz album pink floyd another brick wall part rush roll bone depeche mode violator japan ghost 
"""Gypsys, Tramps & Thieves""",born wagon travellin show mama used dance money throw papa would whatever could preach little gospel sell couple bottle doctor good gypsy tramp thief hear people town call gypsy tramp thief every night men would come around lay money picked boy south mobile gave ride filled hot meal sixteen twenty one rode memphis papa would shot knew done gypsy tramp thief hear people town call gypsy tramp thief every night men would come around lay money might also like never schoolin taught well smooth southern style three month later gal trouble seen seen born wagon travelin show mama dance money throw grandpa whatever could preach little gospel sell couple bottle doctor good gypsy tramp thief hear people town call gypsy tramp thief every night men would come around lay money gypsy tramp thief hear people town call gypsy tramp thief every night men would come around lay money gypsy tramp thief 
"""Never Can Say Goodbye""",never say goodbye never say goodbye girl never say goodbye never say goodbye girl even though pain heartache seems follow wherever though try try hide feeling always seem show try say leaving always say tell tell never say goodbye never say goodbye girl never say goodbye never say goodbye girl every time think enough start heading door strange vibration piercin right core say turn around fool know love might also like tell tell wan let never say goodbye girl never say goodbye girl ooh ooh baby wan let girl never say goodbye ooh never say goodbye girl never say goodbye girl ooh ooh wan let girl never say goodbye ooh never say goodbye never say goodbye girl never say goodbye never say goodbye girl keep thinkin problem soon gon work unhappy feeling anguish doubt old dizzy hang without tell tell wan let never say goodbye girl never say goodbye girl ooh ooh baby baby never say goodbye ooh never say goodbye girl never say goodbye girl ooh hey baby never say goodbye ooh yeah never say goodbye girl never say goodbye girl ooh ooh baby hey baby never say goodbye ooh ooh never say goodbye girl never say goodbye girl ooh hey baby never say goodbye 
"""Rose Garden""",beg pardon never promised rose garden along sunshine got little rain sometime take got give live let live let beg pardon never promised rose garden could promise thing like big diamond ring find rose growin stalk clover better think well sweet talkin could make come true would give world right silver platter would matter smile let jolly love melancholy come along share good time beg pardon never promised rose garden along sunshine got little rain sometime beg pardon never promised rose garden could sing tune promise moon take hold soon let one thing want know better look leap still water run deep always someone pull know talkin might also like smile let jolly love melancholy come along share good time beg pardon never promised rose garden along sunshine got little rain sometime beg 
