,Lyrics
"""Ain't 2 Proud 2 Beg""",mic check house yeah come tlc kickin mother bleep proud beg best duckin fast proud beg boz bos proud beg chilli wit dat sauce step shh proud proud beg thinkin short got better get hot better love unmistakin urge sexin society happy alone hey hey need feel loved wait long cause proud beg something call want touched feeling much see cause everybody need good lovin might also like need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg screamin loud holdin sheet scared called freak got let proud beg see cause man belongs know understands need feel loved need feel loved wait long cause proud beg something call want touched wan touched feeling much see cause everybody need good lovin need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin everybody join paddywagon cause proud beg proud beg left eye kick shit realize realism reality treat cause satisfaction name game choose explain evident left eye mean rest body irrelevant word let refresh head pullin curtain breakin waterbed yeah like mwah set lip oooh tlc tip proud beg proud beg call proud hey proud beg hey hey hey hey hey hey proud proud proud beg need feel loved need feel loved wait long long cause proud beg something call something yeah want touched wan touched feeling much see cause feeling much everybody need good lovin everybody need everybody need everybody need need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg need morning middle night proud beg lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg need morning middle night proud beg call lovin strong got goin proud beg two inch yard rock hard saggin proud beg like braggin join paddywagon cause proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg said proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg proud beg tlc proud beg proud beg 
"""It's So Hard to Say Goodbye to Yesterday""",say goodbye good time made laugh outweigh bad thought get see forever forever gone away hard say goodbye yesterday know road going lead know ooh get see tomorrow hope worth wait hard say goodbye yesterday take memory sunshine rain hard say goodbye yesterday take memory sunshine rain hard say goodbye yesterdayyou might also like 
"""Move This""",come move shake body shake body shake body shake body people know know time hear jam pumpin taste piece mind many different flavour spice strong get hot stuff let pour little baby let show got move doin fine nothin got groove come move shake body might also like people know know time hear jam pumpin taste piece mind many different flavour spice strong get hot stuff let pour little baby let show got move doin fine nothin got groove come move shake body shake body shake body people know know time hear jam pumpin taste piece mind feel mellow crawling fast drum baby rhythm blast pump pump pump pump nuttin make one stop got move got move yeah got move groove move shake body baby lem show got move got move move move groove shake body shake body shake body shake body shake body shake body ohh shake body shake body shake shake got move come move move move move got move come move move move move baby let show got move doin fine nothin got groove come move people know know time hear jam pumpin taste piece mind many different flavour spice strong get hot stuff let pour little toe tappin finger snappin hand clappin mama rappin talkin cold laughin shut wop use got show floor let see say nothing le saw remember like raw got move got move yeah yeah yeah got move shake body baby let show got move fine nothing got groove come move shake body baby let show got move got move really nothin got move move move shake body shake body shake body shake body shake body shake body shake body 
"""Bohemian Rhapsody""",real life fantasy caught landslide escape reality open eye look sky see poor boy need sympathy easy come easy little high little low way wind blow really matter mama killed man put gun head pulled trigger dead mama life begun gone thrown away mama ooh mean make cry back time tomorrow carry carry nothing really matter late time come sends shiver spine body aching time goodbye everybody got got leave behind face truth mama ooh way wind blow wan die sometimes wish never born might also like see little silhouetto man scaramouche scaramouche fandango thunderbolt lightning frightening galileo galileo galileo galileo galileo figaro magnifico poor boy nobody love poor boy poor family spare life monstrosity easy come easy let bismillah let let bismillah let let bismillah let let let let let never never never never let mamma mia mamma mia mamma mia let beelzebub devil put aside think stone spit eye think love leave die baby baby got get got get right outta ooh ooh yeah ooh yeah nothing really matter anyone see nothing really matter nothing really matter way wind blow 
"""Tennessee""",lord really real stressed losing ground although black proud problem got pessimistic brother sister keep messin damn tough know let ghost skull grandma passed brother gone never felt alone know supposed steering wheel spare tire home lord ask home guiding force truth home strange reason home guided tennessee home take another place take another land make forget hurt let understand plan lord obvious got relationship talking every night day although superior talk friendship way outta nowhere tell break outta country country past dyersburg ripley ghost childhood haunt walk road forefather walked climbed tree forefather hung ask tree wisdom tell ear young home back whence came home family tree family name home strange reason home guided tennessee home might also like take another place take another land make forget hurt let understand plan eshe went holly spring rasadon baba went peachtree headliner challenge game horseshoe game horseshoe see importance history people mess many journey freedom made vain brother corner playing ghetto game ask lord enlightened without enlightenment folk said cause set quest truth quench thirst still thirsty lord allowed drink said searching answer front ultimate truth started get blurry strange reason dream tennessee take another place take another land make forget hurt let understand plan headliner game horseshoe owe watermelon let climb tree skip rock like border speech hair look like root tree ancestor hung okay get cause earth 
"""The Best Things in Life Are Free""",ready woo doo doo doo doo doo doo free doo doo doo doo doo doo doo doo doo doo doo doo free baby mmm boy look judge cover got kidding think kind lover mean disagree sorry buy kiss open eye see true love come free might also likei keeping heart open hoping stab cause love pay lose sanity tryin measure intention want much willing give yeah yeah cause pay nothing good loving right free make promise lover cause understand best thing life free yeah discovered mean best thing yeah life free got best thing life free hey hey hey hey hey hey come hey yeah yeah ooh like hey janet mmm luther know baby one baby said twice say thrice baby baby baby got much love yeah yeah easy give know feel yeah yeah way expect lover cause understand say hoo hoo best thing yeah life free yeah discovered mean discovered best thing life free got best thing life free best thing life free discovered mean best thing life free free free glad free got best thing life free bbd tell bout feel sister sister kicking jazz yeah cause money honey want never yeah lot bone structure could make last win feel past yeah material imperial get info know know dough baby baby wan lady forget rich itch money money jam lewis money money luther janet money money biv devoe money money ralph speak best thing life free mmm hmm free baby yeah willing give willing give cause give nothing good loving free make promise ooh see gon gon gon gon best lover cause understand ooh feel good feel good feel good feel good hold hold wait minute still think got let tell one time check everybody need know best thing yeah life free yeah yeah yeah yeah discovered mean everybody know best thing right life free yeah got best thing life free know know best thing life free best thing life free know discovered mean mean best thing life free got best thing life free know know best life free free yeah 
"""Make It Happen""",three short year ago abandoned alone without penny name young afraid proper shoe upon foot sometimes even eat often cried sleep still keep going never knowing could take would make night held faith struggled prayed found way believe enough know want gon make happen make happen get knee night pray lord gon make happen make happen gon make happen yeah know life tough feel like giving must strong baby hold never find answer throw life away used feel way might also like still keep going never knowing could take would make night held faith struggled prayed finally found way believe enough know want gon make happen make happen gon make happen get knee night pray lord gon make happen make happen believe enough believe know want gon make happen get knee night pray lord got hold gon make happen make happen make happen yeah make gon make make baby make night held faith struggled prayed found way believe enough know want gon make happen make happen get knee night pray lord gon make happen make happen yes believe enough know want gon make happen make happen get knee night pray lord gon make happen make happen lost found got foot solid ground thank lord believe within soul hold tight let make make happen yeah make make happen gon make gon make gon make gon make believe enough gon make know want gon make happen make happen get knee night pray lord gon make happen make happen believe enough know want gon make happen make happen get knee night pray lord gon make happen make happen 
"""The One""",saw dancin ocean runnin fast along sand spirit born earth water fire flyin hand instant love someone second hammer hit reality run spine piece finally fit ever needed one like freedom field wild horse run star collide like shadow block sun ever needed baby one caravan follow drunken night dark hotel chance breathe silence sex love longer gel man time cain walk along beach see future water long lost heart within reach might also like ever needed one like freedom field wild horse run star collide like shadow block sun ever needed ooh baby one ever needed one like freedom field wild horse run star collide like shadow block sun ever needed ooh baby one ever needed one like freedom field wild horse run star collide like shadow block sun ever needed ooh baby one 
"""Set Adrift on Memory Bliss""",baby send baby send set adrift memory bliss camera pan cocktail glass behind blind plastic plant found lady fat diamond ring know remember damn thing think one thing dream tryin tell somethin ever stop thinkin know doubt subterranean design wonder would find met let eye caress meet thought mr princess often wonder make work guess leave question expert assuming probably alone solitaire remember caught past time intimate friend said bet probably gon say look lovely probably think nothin right though lie one corner mind put right back rest way go guess might also like baby send baby send set adrift memory bliss baby send baby send set adrift memory bliss careless whisper careless man neutron dance neutron fan marionette string dangerous thing thought trouble bring eye eye spy spy rubber band expand frustrating sigh tell dreaming got ace hole meaning reality used friend mine cause complete control take kind christina applegate got put guess whose piece cake jacked broke wishbone wished sign told whisper heart fine think could feel really stared ring finger hand wanted big dawn fan put right back rest way go guess baby send baby send set adrift memory bliss baby send baby send set adrift memory bliss baby send baby send set adrift memory bliss baby send baby send set adrift memory bliss baby send baby send set adrift memory bliss baby send baby send baby send baby send baby send baby send baby send baby send set adrift memory bliss baby send baby send baby send baby send baby send baby send set adrift memory bliss 
"""Stay""",thinking escape anywhere wrap chain try alone think understand stay stay stay silence room darkness dream must think betweens pride floor make beg stay stay stay better hope pray make safe back world better hope pray wake one day world cuz sleep night hear cry world time tell break spell back world might also like stay stay stay stay stay stay stay ahh haaa stay stay stay stay stay stay stay 
"""2 Legit 2 Quit""",legit legit quit legit legit quit legit legit quit legit legit quit sweat runnin chest chest quit press harder yeah ever going dream store mind mind know makin got get mine nobody takin away nah cause hammer play try get mine boy better step back freeze freeze cause want none hustle muscle look weak son real weak yeah goin get kickin top cause legit quit sing legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit might also like feel high post play close dig smack get back hit dose oaktown power charge hour shakin like quake punk get devoured choose abuse misuse confuse competitor think makin rule fool game lame insane shame got remain unchanged gettin better never known sweater kickin top got together roll guy physical fit know time legit quit sing legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit step rhythm sure nuff winner winner beginner word new tried true survival fittest brought crew top ready strike trained mission believe hype sweat sweat cause gon regret day dissed wish never met remind real short story one hit record start bore one record get ready cause crew legit quit sing legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit legit legit quit legit legit quit legit legit quit legit legit quit get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck get buck people people know defeat crush strong percolate weak daily every day make move improve groove love rule lay work play started bottom leading way yay yay havin fit kickin top legit quit sing legit legit quit hey hey legit legit quit hey legit legit legit quit quit legit legit legit quit quit rollin legit legit quit rollin rollin legit legit quit rollin top legit legit quit top top legit legit quit top gon burn legit legit quit gon burn gon burn legit legit quit gon burn legit legit legit quit quit legit legit legit quit quit rollin hey hey hey legit legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit legit legit quit hey hey legit legit quit hey hey legit legit quit legit legit legit quit hey hey hey legit legit quit legit legit legit legit quit hey hey hey hey legit 
"""Please Don't Go""",please please please babe love please want know please gon miss love please minute walk door please please please please please please babe love want know gon miss love minute walk door might also likeplease away please begging stay leave least life time one dream come true blessed loved someone wonderful please away please begging stay hey hey hey please babe love want know gon miss love minute walk door please away hey hey hey need love knee baby please please please hear baby need know please want know love fade please please please please please please please please please please please please please 
"""Breakin' My Heart (Pretty Brown Eyes)""",pretty brown eye pretty brown eye know see disguise way treat way treat pretty brown eye keep holding thought rejection secured keep telling time always taken keep seeing alone alone pretty brown eye listen love heart pounding desire waiting unleashed quit breakin heart breakin heart pretty brown eye breakin heart breakin heart pretty brown eye sugar yeah yeah tell friend mean nothing please deny truth pretty brown eye tell right know heart right place know let yeah yeah disguise pounding heart yeah see eye see eye pretty brown eye hide start make sense quit playin love game tell gon yeah might also like quit breakin heart breakin heart pretty brown eye breakin heart breakin heart pretty brown eye pretty brown eye pretty brown eye wan know one thing pretty brown eye come darling come romance come love please honey dance quit breakin heart breakin heart pretty brown eye breakin heart breakin heart pretty brown eye come love come romance come darling come romance yeah pretty brown eye breakin heart pretty brown eye breakin heart pretty brown eye 
"""Wishing on a Star""",follow wishing dream follow mean wishing star follow wishing dream follow mean wish rainbow see wish people really dream wishing tomorrow praying come wishing lovin ever done never thought see time would far away home far away think moment spent let meant might also likeand mean hurt know game love reap sow feel time make baby feel time get back together make best thing baby together whether never feel time make baby feel time get back together make best thing baby together whether never woh woh ooooooo ooooo wishing star follow wishing dream follow mean wish rainbow see wish people never hoping day come day hoping day lovin wishing star follow follow wishing star wish rainbow see oooo wishing wishing wishing wishing star ooo follow wishing wishing wishing wishing star wishing ooooo ooooooooo wishing wishing wishing wishing star wishing wishing wishing wishing 
"""She's Playing Hard to Get""",like playing playing hard playing hard get playing like like playing hard get playing like like like playing tell look eye cause pass say tell smile might also likethat shy playing think see crush feel crush playing hard get admit like like playing hard get admit ooh yeah like like playing hard feel vibe even though said word bet glad reading mind cause much cause much want say nerve say sure see eye say word playing hard still know still know deep feeling smile look eye say word could ever say come baby girl playing hard get know want see eye hide playing hard get playing hard get think see crush feel crush 
"""I Will Always Love You""",stay would way know think every step way always love always love darling bittersweet memory taking goodbye please cry know need always love always love might also like hope life treat kind hope dreamed wish joy happiness wish love always love always love always love always love always love always love darling love ooh always always love 
"""Whoomp! (There It Is)""",party people yeah tag team music full effect brain supreme man steve roll kickin flow kickin flow go little something like tag team back check wreck let begin party party people let hear noise house jump jump rejoice say party party wave hand air shake derriere three word mean gettin busy whoomp hit whoomp whoomp whoomp whoomp whoomp whoomp whoomp whoomp might also like upside inside bout show folk time nigga get mic make motherfuckin party hype takin back old school cause old fool cool wan get mma show way whoomp let hear say whoomp come whoomp little louder whoomp come whoomp louder whoomp come whoomp little louder whoomp come whoomp whoomp shaka laka shaka laka shaka laka shaka whoomp shaka laka shaka laka shaka laka shaka whoomp shaka laka shaka laka shaka laka shaka whoomp shaka laka shaka laka shaka laka shaka point blank gin juice drink invent puff dank rock mic crave skin rip shit find honey dip dip slam dunk stick flip ride double ooh come come whoomp done whoomp come whoomp louder whoomp give whoomp come come whoomp little louder whoomp yeah whoomp come come whoomp yeah hey baby whoomp hey baby whoomp say crazy cause pushing dais underground sound nigga found amazing outstanding demanding commanding people dancing whoo shit breathtaker producer aka undertaker wan come underground old school shovel dig fool dig dig dig dig dig dig dig dig dig dig dig dig dig dig dig dig double flow fly shit school old hard core keep folklore wrecked mic check mad skill flow ill mess steel grille microphone killed party people party tag team whoomp thought knew whoomp whoomp whoomp whoomp whoomp whoomp whoomp whoomp yeah tag team music comin straight cha brain supreme man steve roll bring back bring back bring back whoomp whoomp whoomp whoomp hahaha heard new song tag team girl singing even know haha song lady well whole album dope real damn really though 
"""Can't Help Falling in Love""",wise men say fool rush help falling love wise men say fool rush help falling love shall stay would sin help falling love river flow gently sea darling go thing meant take hand take whole life help falling love might also like river flow surely sea darling go thing meant take hand take whole life help falling love help falling love help falling love help falling love 
"""That's the Way Love Goes""",like moth flame burned fire love blind see desire way love go way love way love way love go like moth flame burned fire way love blind see desire way like moth flame burned fire way love blind see desire way love go like moth flame burned fire way way way love go way love go love blind see desire way way way love go come worry gon make crazy give time life gon take place never happy came ooh gon take ooh might also like way love go way love go way love go way love go desire way way love go desire way way love go mind light candle like watch play baby got like come closer baby closer reach feel body gon give love way love go sugar hurry got night close eye hold tight way way ooh baby stop stop deeper baby deeper feel good gon cry gon take ooh way love go way love go way love go way love go way love go way love go way love go way love go know way like moth flame burned fire love blind see desire like moth flame burned fire love blind see desire way way ooh way way way love go way way way love go way love go way way way way way love go go go way way way love go way love go way love go way love go way love go way love go way love way love way love way love way love way love way love go 
"""Freak Me""",freak baby yeah freak baby like freak baby yeah freak baby yeah let lick til say stop let play body baby make real hot let thing want cause tonight baby wan get freaky baby understand wan nasty man wan make body scream know mean know mean carat gold want night grow old wan lick baby yeah baby yeah wan lay come silk sing let lick til say stop lick let play body baby make real hot let make real hot let thing want cause tonight baby wan get freaky might also like love taste whipped cream hey spread mean baby mean know resist girl fly around world around world baby wan see body drip come let take sip come come come come take cherish come cause brag like brag boast come come come baby let lick til say stop lick baby let play body baby make real hot wan play body baby wan play body girl let thing want yeah cause tonight baby wan get freaky let freak yeah come come let cause tonight baby wan get freaky let lick til say stop freak baby let play body baby make real hot freak baby let thing want freak baby cause tonight baby wan get freaky let lick til say stop baby stop baby stop let play body baby make real hot baby stop let thing want baby stop baby stop cause tonight baby wan get freaky freaky let lick til say stop let play body baby make real hot let make soakin wet baby let thing want play around love baby cause tonight baby wan get freaky 
"""Weak""",know done caused act crazy way whatever feeling want stay cause heart start beating triple time thought loving mind figure cause cure get weak knee hardly speak lose lose control something take control take daze amazing amaze phase want stay stay side swallow pride pride love sweet knock right foot explain lovin make weak time time time try fight love strong keep holding resistance around cry fading condition want alone might also like cause heart start beating triple time thought loving mind figure cause cure ohh get weak knee hardly speak lose lose control something take control take daze amazing amaze phase want stay stay side swallow pride pride love sweet knock right foot explain lovin make weak try hard fight way deny love sweet knock foot get weak knee hardly speak lose lose control something take control take daze amazing amaze phase want stay stay side swallow pride pride love sweet knock right foot explain lovin make weak get weak blood start racing vein get weak boy something explain get weak something bout way thing knock right foot ohh foot explain lovin make weak get weak knee hardly speak lose lose control something take control take daze amazing amazing phase want stay want stay side swallow pride pride love sweet knock right foot ohh explain lovin make weak 
"""If I Ever Fall in Love""",first time saw brown eye lip said hello said knew right one caught physical attraction satisfaction baby face ever ever fall love sure lady friend ever ever fall love true true sure lady like yeah yeah yeah next time friend say could one promise promise promise promise never leave lonely wan one need baby wan one serve sometimes feel deserve cherish every moment share might also like ever ever fall love sure lady friend ever fall ever fall love true true sure lady like friend next time friend someone believe need someone friend friend next time friend thick thin friend next time friend someone believe please share love friend friend next time friend need someone like ever ever fall love sure lady friend ever fall ever fall love true true sure lady like 
"""Dreamlover""",need lover give kind love last always need somebody uplifting take away baby want lover know understands feel inside someone comfort hold long lonely night till dawn take away dreamlover come rescue take take take anywhere want baby need desperately please come around cause wan share forever baby want another pretender disillusion one time whispering word forever playing mind baby might also like need someone hold kind love fly away want someone belong every day life always come take away dreamlover come rescue take take take anywhere want baby need desperately please come around cause wan share forever baby baby come take away dreamlover come rescue take take take take anywhere want baby need desperately need baby please come around please cause wan share forever baby need need take come baby baby 
"""Rump Shaker""",yeah wan zoom zoom zoom zoom yeah pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker check baby check baby one two three four check baby check baby one two three check baby check baby one two check baby check baby one called rump shaker beat like sweeter candy feelin manly shaker comin handy slide cloth new york virginia ticklin around delaware enter turn seduction face hip foot wiggle jiggle make night complete since got body year come get award hint like long sharp sword flip tail let see shake like dice way shake rump turnin mighty men mouse plus got surprise back breaker let see shake rump like rump shaker might also like wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker yiggidy yes check baby check baby one two three four yiggidy yes yeah check baby check baby one two three yup yup check baby check baby one two yup yup check baby check baby one yup yup teddy ready one two checker wreckx effect effect wrecker track bout honey shakin rump back booty cuties steady shakin relaxin action packed jam like closet beat bound get cold flowin like faucet mean make sit mean make jump yep make hotties party shake rump like way comb hair like stylish clothes wear little thing make wan get wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker let break shake shake shake shake spend every birthday butt naked body soft makin wan squish chest game rumper like sub woofer shake left shake shake right mind stickin every single night come pas pum pum send papa shake baby shake baby shake stoppa let see booty hop hop make booty stop drop booty wop ooh way shakin real really kill makin broth ill whole lotta bill trickin treatin treatin every trick meetin nah nah nah nah nah nah nah yeah shake baby shake shake like wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker check baby check baby one two three four check baby check baby one two three shake rump check baby check baby one two check baby check baby one one shake rump check baby check baby one two three four check baby check baby one two three shake rump check baby check baby one two check baby check baby one one shake rump wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker wan zoom zoom zoom zoom pum pum shake rump rump shaker check baby check baby one two three four check baby check baby one two three shake rump check baby check baby one two check baby check baby one one shake rump check baby check baby one two three four check baby check baby one two three shake rump check baby check baby one two check baby check baby one one shake rump wan zoom zoom zoom zoom pum pum shake rump wan zoom zoom zoom zoom pum pum shake rump wan zoom zoom wan zoom zoom shake rump wan zoom zoom zoom zoom pum pum shake rump rump shaker break yeah shake rump yeah yeah effect yeah peace peace come come come come come come come 
"""Informer""",man ayo yeah going sick tired running block know saying snow came around looking day word word bust informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom police come blow door break car troo troo window dey put back car station point reach destination destination reachin outta east detention dey looked pant look bottom might also like informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom bigger dem think dem power pon phone say dat one hour want use call lover lover callin one tamei love heart belly yes say daddy snow haffi cool deadly yes one one daddy snow together love tor informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom listen better listen listen better listen rock microphone rock steady yes daddy snow article dance say come people dem say come jamaica born raised ghetto want know pure black people man man know yeah shoe tear toe show born one toronto informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom come nice young lady intelligent yes gentle irie everywhere never lef yes daddy snow roam dance man roam dancin nation never know say daddy snow boom shakata never lay flat one cardboard box yes daddy snow reachin top informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom sitting round cool dibbie dibbie girl police knock door lick pal rough thing pick line telephone ring take station black hand trail cause hanging snowman gon backed trapped slap face took gap clue wan get warmer turn informer informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom informer say daddy snow blame lick boom boom tective man say say daddy snow stab someone lane lick boom boom diggity dum diggity diggity dum 
"""Nuthin' but a 'G' Thang""",one two three four snoop doggy dogg dre door ready make entrance back cause know bout rip shit give microphone first bust like bubble compton long beach together know trouble nothin thang baby two loced nigga goin crazy death row label pay unfadeable please try fade hell yeah back lecture hand perfection perfected let understand young perspective dig bitch find contraceptive never know could earnin man learnin man time burnin man know shit lieutenant pussy good enough get burnt yeah realer real deal holyfield hooker hoe know feel well good enough get broke proper chunk take small piece funky stuff like like like like like like like like like dre creep mic like phantom might also like well peepin creepin creepin damn near got caught cause beeper kept beepin time make impression felt sit back relax strap seat belt never ride like producer rap control micstro time dope rhyme kick know know flow old funky shit add collection selection symbolizes dope take toke choke clue homie snoop dogg came like like like like like like like give fuck chill til next episode got feeling rock side got feeling yeah yeah fallin back as hellafied gangster lean gettin funky mic like old batch collard green capital yes fresh double double double see showin much flex time wreck mic pimpin hoe clockin grip like name dolemite yeah quit think mood motherfuckin shit hell yeah dre dogg got give want got break somethin hell yeah got bumpin city compton take place asked attention mobbin like motherfucker lynchin droppin funky shit makin sucker nigga mumble mic like cookie crumble try get close as get smacked motherfuckin homie doggy dogg got back never let slip cause slip slippin got nina know straight trippin continue put rap put mack bitch talk shit put smack yeah stop told like clock tick tock never always break dawn city call long beach puttin shit together like nigga one better like like like like like give fuck chill til next episode got feeling rock side got feeling yeah yeah got feeling rock side got feeling yeah yeah got feeling rock side got feeling yeah yeah 
"""In the Still of the Nite""",shoo doop shooby doo shoo doop shooby doo shoo doop shooby doo shoo doop shooby woah still shoo doop shooby doo night shoo doop shooby doo held shoo doop shooby doo held tight shoo doop shooby woah love shoo doop shooby doo love shoo doop shooby doo promise never shoo doop shooby doo let shoo doop shooby woah still night ooh still night remember remember night may remember star bright remember remember hope remember pray remember keep shoo wop precious love shoo wop might also like shoo doop shooby doo light shoo doop shooby doo hold shoo doop shooby doo might shoo doop shooby wah still night ooh still night shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo wop shoo doop shooby doo light shoo doop shooby doo hold shoo doop shooby doo might shoo doop shooby wah still night ooh still night still night shoo doop shooby doo shoo doop shooby doo yeah shoo doop shooby doo still night shoo doop shooby woah still night yeah shoo doop shooby doo woah woah woah shoo doop shooby doo yeah yeah yeah yeah shoo doop shooby doo shoo doop shooby woah shoo doop shooby doo shoo doop shooby doo shoo doop shooby doo 
"""Don't Walk Away""",right leave name number get back laughing got love waiting got know love true keep running boy life wan girl cause mood right let come inside tomorrow hide need someone hold baby misunderstand want man need little time invest love walk away boy ooh walk away love hurt walk away boy right say thing like hear push button baby love close wan feel love wan sure need baby every night might also like let come inside tomorrow hide need someone hold baby misunderstand want man need little time invest love walk away boy walk away boy love hurt walk away boy walk away right baby misunderstand want man need little time give love walk away boy walk away right walk away sound like make love walk away boy walk away boy right walk away walk away boy love hurt hurt walk away boy right right yeah walk away boy walk away love hurt walk away boy right 
"""Knockin' da Boots""",yeah doin one lady huh town boy kickin boy luke know sayin cause knockin boot shazam dino goin little somethin real sexy like know sayin hey check verse last night thought back made good love listenin marvin gaye night long want old thing back make moment fact uhhh babe good lovin body rockin knockin boot night long yeah makin love tire break dawn come come turn light let get yeah cause right give good love somebody rockin knockin boot give good love somebody rockin knockin boot somebody rockin baby ooh give good love somebody rockin knockin boot need need give good love somebody rockin knockin boot might also like feel good near always wan close addicted addicted makin love baby night long baby night long long long long good lovin body rockin night long makin love tire break dawn come come turn light let get cause right right right give good love somebody rockin knockin boot give good love somebody rockin knockin boot want baby give good love somebody rockin knockin boot little body body rockin yeah give good love somebody rockin knockin boot complete rockin sweet love somebody rockin knockin boot give mound pleasure cause ready somebody rockin knockin boot ready ready baby somebody rockin knockin boot give everything waitin somebody rockin knockin boot come give baby yeah right intermission tip lady get towel know sayin cause laid like know wait minute kick vamp whoa somebody rockin knockin boot baby whoa want good touch lady baby drivin crazy come somebody rockin knockin boot come rock body rock body baby come rock body yeah hey wan lay somebody rockin knockin boot let make sweet lovin baby turn light low close door somebody rockin knockin boot everything cause ready 
"""Lately""",lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day ever felt breeze hit heart like wind blowin apart blowin apart spinnin like merry round indication storm touchin wish could weather storm guess heartbreak norm day always remember saddest day sweet november lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day watchin day might also like baby knee prayin god help please bring baby back right back mmm lovin right wan wrong drown tear sitting singin another sad love song lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day lately torn apart wish broke heart missin babe missin every day lately torn apart wish broke heart missin babe missin every day lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day lately watchin thinkin bout baby everything sittin away watchin day 
